Species,Diet
Axis axis,Herbivore
Axis calamianensis,Herbivore
Axis kuhlii,Herbivore
Axis porcinus,Herbivore
Blastocerus dichotomus,Herbivore
Capreolus capreolus,Herbivore
Capreolus pygargus,Herbivore
Cervus elaphus,Herbivore
Cervus nippon,Herbivore
Dama dama,Herbivore
Dama mesopotamica,Herbivore
Elaphodus cephalophus,Herbivore
Elaphurus davidianus,Herbivore
Hippocamelus antisensis,Herbivore
Hippocamelus bisulcus,Herbivore
Hydropotes inermis,Herbivore
Mazama americana,Herbivore
Mazama bororo,Herbivore
Mazama bricenii,Herbivore
Mazama chunyi,Herbivore
Mazama gouazoubira,Herbivore
Mazama nana,Herbivore
Mazama nemorivaga,Herbivore
Mazama pandora,Herbivore
Mazama rufina,Herbivore
Mazama temama,Herbivore
Muntiacus atherodes,Herbivore
Muntiacus crinifrons,Herbivore
Muntiacus feae,Herbivore
Muntiacus gongshanensis,Herbivore
Muntiacus montanus,Herbivore
Muntiacus muntjak,Herbivore
Muntiacus puhoatensis,Herbivore
Muntiacus putaoensis,Herbivore
Muntiacus reevesi,Herbivore
Muntiacus rooseveltorum,Herbivore
Muntiacus truongsonensis,Herbivore
Muntiacus vaginalis,Herbivore
Muntiacus vuquangensis,Herbivore
Odocoileus hemionus,Herbivore
Odocoileus virginianus,Herbivore
Ozotoceros bezoarticus,Herbivore
Przewalskium albirostris,Herbivore
Pudu mephistophiles,Herbivore
Pudu puda,Herbivore
Rangifer tarandus,Herbivore
Rucervus duvaucelii,Herbivore
Rucervus eldii,Herbivore
Rucervus schomburgki,Herbivore
Rusa alfredi,Herbivore
Rusa marianna,Herbivore
Rusa timorensis,Herbivore
Rusa unicolor,Herbivore
Chaeropus ecaudatus,Omnivore
Allocebus trichotis,Omnivore
Cheirogaleus adipicaudatus,Omnivore
Cheirogaleus crossleyi,Omnivore
Cheirogaleus major,Omnivore
Cheirogaleus medius,Omnivore
Cheirogaleus minusculus,Omnivore
Cheirogaleus ravus,Omnivore
Cheirogaleus sibreei,Omnivore
Microcebus berthae,Omnivore
Microcebus bongolavensis,Omnivore
Microcebus danfossorum,Omnivore
Microcebus griseorufus,Omnivore
Microcebus jollyae,Omnivore
Microcebus lehilahytsara,Omnivore
Microcebus mamiratra,Omnivore
Microcebus mittermeieri,Omnivore
Microcebus murinus,Omnivore
Microcebus myoxinus,Omnivore
Microcebus ravelobensis,Omnivore
Microcebus rufus,Omnivore
Microcebus sambiranensis,Omnivore
Microcebus simmonsi,Omnivore
Microcebus tavaratra,Omnivore
Mirza coquereli,Omnivore
Mirza zaza,Carnivore
Phaner electromontis,Omnivore
Phaner furcifer,Omnivore
Phaner pallescens,Omnivore
Phaner parienti,Omnivore
Chinchilla chinchilla,Herbivore
Chinchilla lanigera,Herbivore
Lagidium peruanum,Herbivore
Lagidium viscacia,Herbivore
Lagidium wolffsohni,Herbivore
Lagostomus crassus,Herbivore
Lagostomus maximus,Herbivore
Amblysomus corriae,Carnivore
Amblysomus hottentotus,Carnivore
Amblysomus marleyi,Carnivore
Amblysomus robustus,Carnivore
Amblysomus septentrionalis,Carnivore
Calcochloris leucorhinus,Carnivore
Calcochloris obtusirostris,Carnivore
Calcochloris tytonis,Carnivore
Carpitalpa arendsi,Carnivore
Chlorotalpa duthieae,Carnivore
Chlorotalpa sclateri,Carnivore
Chrysochloris asiatica,Carnivore
Chrysochloris stuhlmanni,Carnivore
Chrysochloris visagiei,Carnivore
Chrysospalax trevelyani,Carnivore
Chrysospalax villosus,Carnivore
Cryptochloris wintoni,Carnivore
Cryptochloris zyli,Carnivore
Eremitalpa granti,Carnivore
Neamblysomus gunningi,Carnivore
Neamblysomus julianae,Carnivore
Craseonycteris thonglongyai,Carnivore
Abrawayaomys ruschii,Omnivore
Abrothrix andinus,Omnivore
Abrothrix hershkovitzi,Omnivore
Abrothrix illuteus,Omnivore
Abrothrix jelskii,Omnivore
Abrothrix lanosus,Omnivore
Abrothrix longipilis,Omnivore
Abrothrix markhami,Omnivore
Abrothrix olivaceus,Omnivore
Abrothrix sanborni,Omnivore
Aegialomys galapagoensis,Omnivore
Aegialomys xanthaeolus,Omnivore
Aepeomys lugens,Omnivore
